$	dollar[s] ドル記号(通貨単位)
lasagne	ラザーニャ(平たい麺(めん)を肉・チーズ・トマトで調理したイタリア料理), = lasagna
lascivious	好色な,みだらな;情欲を起こさせる
laser	レーザー(強力な可視光線を発生させる;医療,通信,軍事用)
lash	〈C〉(皮製の)『むちひも』,むち / 〈C〉『むちの一打ち』;《the ~》(昔の刑罰で)むち打ちの刑罰 / 〈C〉(むちのような)素早い動き;(むち打つような)激しい非難,痛烈な皮肉 / 〈C〉まつげ(eyelash) / 〈人・動物〉‘を'『むちで打つ』 / 〈風・雨・波などが〉…‘を'激しく打つ / 〈むち・尾など〉‘を'『激しく振る』 / (言葉で)…‘を'厳しく非難する《+『名』+『with』+『名』》 / 〈人など〉‘を'刺激して(かり立てて)(…)させる《+『名』+『to』(『into』)+『名』》 / (…を)『激しく打つ』《+『at』+『名』》 / (…に)〈雨・風・波などが〉『激しく打ちつける』《+『against』+『名』》 / 〈尾などが〉激しく動く《+『about』》 / (綱・ひもなどで)…‘を'しっかり結ぶ;(…に)…‘を'縛り付ける《+『名』+『to』+『名』》
lashing	〈U〉むち打つこと / 〈U〉縛りつけること / 〈C〉ひも,なわ
lashings	《複数形》《話》(飲食物などの)たくさん,多量《+『of』+『名』》
lass	若い女,少女 / (女の)恋人
lassitude	体のだるさ,疲労,けん怠 / 無気力
lasso	(牛・馬を捕まえるための)輪なわ,投げなわ / 〈牛・馬など〉‘を'輪なわで捕まえる
last	《the ~》(順序・時間について)『最後の』;(行為・でき事について)最後の / 最後に残った,後のない / 《時を表す語につけて》『すぐ前の』,この前の,昨…,先…;最近の,この,ここ / 『最新の』,最近の / 《the ~》『最も』(…)『しそうにない』,最も(…)でない《+『名』+『to』 do(『that節』『wh-節』)》 / 《the ~》(地位・評価・重要さなどが)最も劣る / (特に人生の)終末の / 《the ~》最大の,この上ない(utmost) / (lateの最上級) / (順序・時間が)『最後に』,いちばん遅く / 『この前に』,最近 / (講演・論文などで)最後に,終りに臨んで / 《the ~》『最後の人』(『物』) / 最近のもの,この前のもの / 『最後』,終り,臨終;(月・週の)終り / (時間的に)『続く』,継続する / 〈物が〉『使用に耐える』,〈力・精力などが〉もつ / 〈物が〉足りる,なくならない / …‘の'『間をもちこたえる』,‘を'生き続ける / 〈物などが〉(ある期間の間)〈人〉‘の'必要を満たす / 靴型
last hurrah	(特に不成功に終わる)最後の政治運動
Last Judgment	(キリスト教で)最後の審判(=Judgment Day)
last minute	どたん場の,締切りまぎわの
last name	(名に対する)姓
last straw	(破滅をもたらす)最後の一小事,忍耐の限度を越えさせるもの
Last Supper	最後の晩餐(ばんさん)(キリストが処刑される前夜に12人の弟子と共にした)
last word	(議論の末の)最後の言葉,結論 / 《話》(…の)最新型,最高権威[者]《+『in』+『名』》
last-ditch	絶体絶命の,死力を尽くした
Lastex	ラステックス(ゴム芯(しん)糸の商標名)
lasting	『永続する』;長持ちする
lastly	最後に,結局
lat.	latitude
Lat.	Latin
Latakia	ラタキアたばこ(トルコ産の高級たばこ)
latch	(ドアなどにつける戸締まり用の)『掛け金』,かんぬき / 〈ドアなど〉‘に'掛け金を掛ける / 〈ドアなどが〉掛け金が掛かる
latchkey	(玄関・門などの)掛け金のかぎ
latchkey child	かぎっ子
latchstring	掛け金ひも(戸の穴から通してひも掛け金を外側からはずす)
late	(定刻・通常・予定の時間より)『遅れた』,遅い / (時刻が)『遅い』,遅く始まる,遅くまで続く;夜更けの / (時期が)『遅い』,終りごろの,後期の / 『最近の』,最新の(recent) / 《the~,one's~》『前の』,先の,前任の(former) / 《the~,one's~》『故』…,つい先ごろ死んだ / (定刻などより)『遅れて』,遅く / (時刻が)『遅く』,遅くまで,(特に)夜更けに;(時期が)遅く,終りごろに / 『最近』,近ごろ(recently)
late-breaking	(情報など)今分かったばかりの
latecomer	遅れて来た人;最近来た人(物)
lateen	大三角帆(地中海の帆船に見られる)
lately	『近ごろ』,最近
latency	潜伏,潜在
lateness	遅いこと,遅れ,遅刻
latent	潜在(潜伏)している,隠れている
latent heat	潜熱(物質の変化の際放出または吸収される熱)
later	《補語にのみ用いて》(人などが)(…するのが)『もっと遅い』《+『in』+『名』(do『ing』)》 / (時刻・時期が)『もっと遅い』,もっと後の / 後で,のちほど / (lateの比較級)(定刻・予定時間・他の人(物))より遅れて,遅く
lateral	横の,側面の;横からの / (音声が)側音の / 側面,(道路の)側溝(そっこう) / 側音(英語の[1]など)
latest	最も遅い / 『最近の』,最新の / 《名詞的に》《単数扱い》(ニュース・流行・製品などの)最も新しいもの / いちばん遅く
latex	ラテックス(ゴムの木などから出る乳状の液で塗料・接着剤に用いる)
lath	木摺(きずり),木舞(こまい)(壁下地などに用いる細長い薄板);《集合的に》木摺,木舞
lathe	旋盤
lather	石けんの泡 / (馬などの)泡汗 / …‘に'石けん泡を塗る(泡を立てる) / 〈石けんが〉泡立つ / 〈馬などが〉全身泡汗をかく
lathery	泡の,泡だらけの
Latin	〈U〉(古代ローマで用いた)『ラテン語』 / 〈C〉(古代ローマに住んでいた)ラティウム人,古代ローマ人 / 〈C〉ラテン[系]民族の人 / 『ラテン語の』 / ラテン系民族の;ロマンス語族の言語を使う民族(諸国)の
Latin America	ラテンアメリカ(中南米諸国;ラテン系言語を話していることから)
Latin American	ラテンアメリカの
Latin Quarter	ラテン区,カルチェラタン(パリのセーヌ川南岸にある学生・芸術家たちが集まる街)
Latinize,Latinise	…‘を'ラテン語に訳す / …‘を'ラテン風にする / ラテン語を使う
Latino	ラテンアメリカ系のアメリカ市民
latitude	〈U〉『緯度』(《略》『lat.』) / 《複数形で》(緯度からみた)地帯,地方 / 〈U〉(思想・行動などの)自由;自由の範囲,許容の程度 / 〈U〉(露出の)寛容度(最少露出から最高露出までのフイルムの許容感度の幅)
latitudinal	《名詞の前にのみ用いて》緯度の
latitudinarian	行動・思想などに寛容な人,自由主義者
latitudinarianism	(行動・思想における)寛容主義,自由主義
latrine	便つぼ(戦地・野営地などで便所用に掘った穴・みぞ)
latter	《the, thisまたはtheseと共に名詞の前にのみ用いて》(ある期間のうち)『後半の』,後のほうの / 《the~》(前述した二者のうちの)『後者の』
Latter Day Saint	モルモン教徒(Mormon)
latter-day	《名詞の前にのみ用いて》近代の,現代の
lattice	格子(こうし) / 格子窓,格子の戸(門) / …‘を'格子模様(造り)にする / …‘に'格子を取り付ける
latticed	格子つきの,格子作りの
latticework	〈U〉格子作り(細工,模様) / 〈C〉格子
Latvia	ラトビア(バルト海東岸にある旧ソ連邦の共和国)
Latvian	〈C〉ラトビア人;ラトビアに住む人 / 〈U〉ラトビア語,レット語 / ラトビアの;ラトビア人の;ラトビア語の
laud	…‘を'高く賞賛する
laudable	(行動・行為が)賞賛に値する
laudanum	アヘンチンキ(鎮痛剤)
laudatorily	賞賛して,賛美して
laudatory	賞賛の,賛美の
laugh	(声を立てて)〈人が〉『笑う』 / 〈目・口もとなどが〉うれしそうに笑う / 〈動物,特にハイエナなどが〉笑い声に似た声(音)を出す / …‘を'笑って言う / 《a+形容詞+laughを目的語にして》…‘の'笑い方をする / 〈人〉‘を'『笑う』 / 『笑い』;笑い声;笑い方 / 《話》笑いの種,冗談(joke)
laughable	笑いを誘う;(特に)失笑を買う
laughably	笑いを誘って,失笑を買って
laughing	笑っている;笑っているように見える(聞こえる) / 笑いを誘う(laughable) / 笑い,笑い声(laughter)
laughing gas	笑気(亜酸化窒素;歯科医が短時間用麻酔に用いる)
laughing jackass	=kookaburra
laughingstock	(世間の)笑い草,物笑いの種
laughter	『笑い』,笑い声
launch	〈ボート〉‘を'水面に降ろす;〈船〉‘を'『進水させる』 / (…に向かって)〈やりなど〉‘を'投げる《+『名』+『at』(『against』)+『名』》;(…に)〈ロケットなど〉‘を'打ち上げる,発射する《+『名』+『into』+『名』》;(艦上などから)〈飛行機〉‘を'飛び立たせる《+『名』+『from』+『名』》 / (…に)〈攻撃など〉‘を'加える,〈非難など〉‘を'浴びせる《+『名』+『at』(『against』)+『名』》 / 〈計画・事業など〉‘を'『始める』 / (事業などに)〈人〉‘を'乗り出させる《+『名』+『in』(『into, on』)+『名』》 / 乗り出す / 〈船が〉進水する;〈航空機などが〉発進する / (船の)進水;(ロケット・宇宙船などの)発進 / ランチ(甲板のない小型モーターボート) / (軍艦に常備されている)大型モーターボート
launch vehicle	宇宙船(ミサイル)の推進用ロケット
launch window	ロケット打上げの発射時間帯
launcher	(ミサイルなどの)発射装置
launching pad	(ロケットの)発射台
launder	〈衣類など〉‘を'洗濯する,洗濯してアイロン仕上げをする / 〈衣類などが〉洗濯とアイロンがきく(できる)
launderette,launderet	=laundromat
laundress	洗濯女(人の家に行って,あるいは自分の家に持って帰って洗濯する女性);クリーニング屋の女性従業員
laundromat	コインランドリー(《英》laundrette)
laundry	《集合的に》『洗濯』[『物』] / 〈C〉『クリーニング屋』 / 『洗濯室』(laundry room)《形容詞的に》
laundry basket	洗濯物用かご
laundry list	(洗濯屋に出す)洗濯物の表 / 《米話》(雑然と並べた)一覧表
laundryman	クリーニング屋の男性従業員
laundrywoman	=laundress
laureate	《文》(名誉の印として)月桂冠(げっけいかん)をいただいた,桂冠(けいかん)の / (ある分野で)非常にすぐれた,名誉ある / 桂冠詩人(poet laureate)
laurel	『ゲッケイジュ』(月桂樹) / (勝利・名誉のしるしとしての)月桂冠 / 《複数形で》栄冠,名誉
lava	(火山から噴出する高温の)溶岩;(すでに冷えた)火山岩
lavabo	(中世の僧院で用いた)手洗いばち
lavage	(特に胃などの)洗浄
lavaliere	ラバリエール(宝石をちりばめたペンダント)
lavatory	(学校・ホテルなどの共同の)洗面所,化粧室;便所,トイレ / 《おもに》便器 / 《米》(洗面用の)流し台
lave	…‘を'洗う(wash),浸す / 〈流れなどが〉〈岸〉‘を'洗う
lavender	ラベンダー(シソ科の小低木;芳香ある紫色の穂状の花をつける) / ラベンダー色,フジ色 / (衣類などの香料として用いる)ラベンダーの乾燥葉(花) / ラベンダー色の;ラベンダーの香りをもつ
lavish	『気前のよい』 / 豊富な,多すぎる / (人・物事に)〈金・愛情など〉‘を'『惜しまず与える』,浪費する《+『名』+『on』(『upon』)+『名』》
law	〈U〉《the ~》《集合的に》(法律・法規を総称して)『法』 / 〈U〉〈C〉(個々の)『法律』,法規 / 〈U〉法の[統制]力 / 〈U〉法律学 / 〈U〉弁護士[業] / 〈U〉《the law》警察[力],警官(police) / 〈U〉法の適用(発動);訴訟(legal action) / 〈C〉(科学・芸術などでの)法則,きまり / 〈C〉〈U〉(一般に従うべき)おきて,ならわし,規則
law court	法廷(court of law)
law-abiding	法律を守る,法律に従う
lawbreaker	法律違反者
lawbreaking	法律を破ること / 法律違反の
lawful	『合法の』,法定の;(法律上)正当な;法律を適用できる
lawgiver	《文》立法者,法律制定者
lawless	(地域・国家などが)法律で規則されない,非合法の / (人が)法律に従わない,無法の
lawmaker	立法者,議員(legislator)
lawmaking	立法 / 立法の,法の定める
lawman	(昔の西部の)保安官
lawn	『芝生』[『地』] / ローン(ハンカチ・ブラウスなどに用いるごく薄地のリネンまたは木綿布)
lawn tennis	(特に芝生コートで行う)テニス,庭球
lawnmower,lawn mower	芝刈り機
lawrencium	ローレンシウム(人工の放射性金属元素;化学記号『Lw』)
lawsuit	訴訟[事件]
lawyer	『弁護士』;法律学者
lax	(法などが)『厳格でない』,手ぬるい / だらしない,たるんだ;(…に)いいかげんな《+『about』+『名』(do『ing』)》 / 『ゆるんだ』
laxative	下剤
laxity	ゆるいこと;だらしなさ
lay	《場所の副詞[句]を伴って》‘を'『置く』,横たえる / ‘を'『きちんと置く』(並べる),〈土台など〉‘を'すえる,〈鉄道など〉‘を'敷設する / …‘を'『用意する』,準備する / (…に)〈身体の一部〉‘を'置く,つける《+『名』+『on』(『to』)+『名』》 / (…に)〈信頼・愛情〉‘を'置く,寄せる,託す;〈強調・重要性など〉‘を'置く《+『名』+『on』+『名』》 / 〈ほこり・波・風など〉‘を'抑える,〈恐れ亡霊など〉‘を'静める,なだめる / 〈卵〉‘を'産む / 〈かけ〉‘を'する;(…に)〈金〉‘を'かける《+『名』+『on』+『名』》 / (…に)〈税・罰金・義務など〉‘を'課する,〈重荷・責任など〉‘を'負わせる《+『名』+『on』(『upon』)+『名』》 / 〈悪事など〉‘を'(…の)せいにする《+『名』+『against』(『to』)+『名』》 / 《状態を表す副詞[句]を伴って》(特によくない状態に)…‘を'『置く』,する / (…に)〈権利の主張・報告など〉‘を'提出する,申し出る《+『名』+『before』(『to』)+『名』》 / (…で)…‘の'表面をおおう《+『名』+『with』+『名』》;(…に)…‘を'広げる《+『名』+『on』+『名』》 / 卵を産む / 位置,配置,地形,地勢 / lieの過去形 / (歌うために書かれた)短い物語詩 / 《詩》(一般に)歌,調べ / (僧職にある人に対して)俗人の / (専門家に対して)しろうとの,門外漢の
lay analyst	しろうと精神分析家
lay brother	平修道士(労働だけで僧務はしない)
lay figure	(美術用の)マネキン,モデル人形 / でくのぼう,つまらない人
lay reader	信徒奉持者(礼拝の一部を担当する平信徒), 一般読者
lay sister	平修道女
lay-by	《英》(道路の)待避所,(車や船などの)すれ違い場所
layabout	なまけ者
layaway plan	予約月賦制(頭金だけで品物を予約した完済後に品物を受け取る方式)
layer	《複合語を作って》(物を)積む人(物),置く人(物) / 卵を産む鶏 / (積み重なっている)層;(ペンキなどの)一塗り;一皮 / (園芸で)取り木 / …‘を'層にする / 〈植物〉‘を'取り木する
layette	赤ちゃん用品一式
layman	(僧職にある人に対して)俗人・平信徒 / (僧職にある人に対して)俗人・平信徒 / (専門家に対して)しろうと
layoff,lay-off	〈U〉労働者の一時的解雇 / 〈C〉一時的解雇の期間
layout	(都市や建造物などの)設計《+『of』+『名』》 / (書籍・新聞の)割り付け,レイアウト《+『of』+『名』》
layover	途中下車,立ち寄り(stopover)
laywoman	女性の平信徒
lazar	らい病患者
Lazarus	ラザロ(聖書の人物;キリストにより死からよみがえった)
laze	怠ける,のらくら暮らす / 〈時間〉‘を'のらくらして過ごす《+『away』+『名』,+『名』+『away』》 / のらくらする時間
lazily	怠けて,ぶらぶらして
laziness	怠惰,無精
lazy	(人・動物が)『怠惰な』,無精な,物ぐさな / (物事が)(人の)怠惰を誘う,けだるい,ものうげな / 動きがのろい / 《名詞的に;the lazy》怠け者[たち]
lazy Suzan	レイジー・スーザン：回転式食卓・回転盆(底に小さな車輪が付いており、円形の卓上に乗せて使う盆。中華料理店の円卓の中央にあり、その上に料理を乗せてクルクル回せるようになっているもの)
lazybones	怠け者,無精者
lb,lb.	pound(重量単位のポンド)[ラテン語libraの短縮形]
LD	lethal dose(薬の)最小致死量
ld.	load
Ld.	Lord
LDC	less developed country発展途上国,低開発国
ldg.	landing
lea	草原,牧草地(meadow)
leach	〈水など〉‘を'こす,ろ過する / (灰・土・鉱石などから)〈可溶成分〉‘を'こして取る《+『out』+『名』(+『名』+『out』)+『from』+『名』》
lead	《方向を表す副詞[句]を伴って》…‘を'『導く』,案内する / 〈道・灯火などが〉…‘に'道筋を示す;(…へ)…‘を'導く《+『名』+『to』(『into』)+『名』》 / …‘の'先頭になる,1番である / …‘の'『率いる』,指揮する / 〈ある人生・生活〉‘を'経験する,生きる,送る / 『先頭に立つ』,(競技・成績などで)リードする / 〈人が〉『案内する』,先導する / (…に)〈道などが〉『通じている』《+『to』+『名』》 / (…の)結果となる《+『to』+『名』(do『ing』)》 / 〈U〉《the~》『先頭』,首位 / 〈C〉《a~》相手を引き離した点(時間,距離) / 〈C〉模範,手本(example) / 〈C〉(問題解決の)手がかり,ヒント(clue) / 〈C〉(劇・映画などの)主役,主演俳優 / 〈C〉(新聞報道記事などの本文の前におく要約した)前文,前書き,リード / 先頭の,主要な / 〈U〉『鉛』(化学記号は『Pb』) / 〈C〉鉛のおもり,測鉛 / 〈C〉《複数形で》(ガラスをはめる)鉛の枠(わく);《英》(屋根をふくのに用いる)鉛板 / 〈U〉〈C〉黒鉛,鉛筆のしん / 〈U〉《集合的に》(鉛の)弾丸 / …‘に'鉛をかぶせる,鉛を詰める,鉛のおもりを付ける
lead poisoning	急性鉛中毒
lead time	製品の企画から完成までの期間
lead-in	(テレビ・ラジオの)アンテナの引込み線 / コマーシャル導入部分
leaded	(ガソリンが)四エチル鉛入りの
leaden	鉛の;鉛製の / 鉛色の / (鉛のように)重い,重苦しい,鈍い,陰うつな
leader	『指導者』,先導者,主将 / 《英》(また『leading article』)(新聞などの)社説,論説)editorial) / 《米》(釣り針を釣り糸に連結する)はりす(鉤素) / 《米》合唱団の指揮者;《英》(オーケストラの)首席第1バイオリン奏者
leadership	『指導者の地位』(任務) / 『指導』,指揮 / 『指導力』,統率力 / 《集合的に》指導者たち
leading	『先導する』,先頭の / 『主要な』,一流の / 指導する / 指導
leading article	=leader2
leading light	重要人物,有力者
leading reins	(幼児の肩に結びつける)歩行練習用の引き綱
leading strings	いつまでも続く厳しい指導(監督,束縛) / =leading reins
leaf	〈C〉(木・草の)『葉』 / 〈C〉花びら / 〈C〉(本などのページの裏表)『1枚』 / 〈U〉(金属の)薄片,箔(はく) / 〈C〉(折りたたみ式テーブルの)補助板 / 《おもに米》〈木が〉葉を出す《+『out』》 / (本などの)ページをばらばらとめくる,内容にざっと目を通す《+『through』+『名』》
leafage	葉
leafed	=leaved
leafhopper	ヨコバイ(植物の液汁を吸う害虫)
leafless	葉のない・葉の落ちた
leaflet	(広告などの)ちらし,びら / (とじてない)パンフレット,小冊子 / 小さい(若)葉;(植物の複葉を構成する)小葉
leafstalk	(植物の)葉柄(ようへい)
leafy	葉の多い,葉の茂った / 葉から成る,葉でできた / 葉のような
league	リーグ(昔の距離の単位;約3マイル(5キロメートル)) / (国家・人々・組織などの)『連盟』,同盟 / 競技連盟,リーグ / 同盟する,連合する
league game	リーグ戦
League of Nations	国際連盟(1919‐46年;the United Nationsが成立した翌年解散した)
leaguer	同盟者,連盟加入者(国);野球連盟の選手
leak	〈U〉〈C〉(水・空気・ガス・光などが)漏れること / 〈C〉『漏れ口』,漏れ穴 / 〈C〉(秘密などの)漏えい《+『of』+『名』》 / 〈船・屋根・容器などが〉漏る / (…から,…の中へ)〈水・空気・ガス・光など〉漏れる《+『from』(『into』)+『名』》 / 〈秘密などが〉漏えいする《+『out』》 / 〈水・空気・ガス・光など〉‘を'漏らす / (…に)〈秘密など〉‘を'漏らす《+『名』+『to』+『名』》
leakage	〈U〉漏ること,漏れ / 〈C〉漏る量,漏出量 / 〈U〉(秘密などの)漏えい《+『of』+『名』》
leakiness	漏れやすいこと
leakproof	漏れ防止の
leaky	漏る,漏れ口のある
leal	《スコットランド英語》誠実な,忠実な,真実な
lean	(人・動物が)『やせた』,肉の落ちた / (肉などが)脂肪が少ない / 乏しい,貧弱な(poor, scanty);(土地などが)やせた / 脂肪のない肉,赤身(lean meat) / 《副詞[句]を伴って》〈建物などが〉『傾く』 / 《副詞[句]を伴って》『上体を曲げる』 / (…に)『もたれる』,寄りかかる《+『on』(『upon, against』)+『名』》 / (…のことで…に)『頼る』《+『on』(『upon』)+『名』+『for』+『名』》 / (…に)〈意見・気持ちなどが〉傾く《+『to』(『toward』)+『名』》 / 《副詞[句]を伴って》〈体・頭など〉‘を'『曲げる』,傾ける / (…に)…‘を'『もたせかける』,立て掛ける《+『名』+『against』(『on, upon』)+『名』》 / 傾くこと;傾き
lean-to	(母屋からの)差し掛け屋根;差し掛け屋根の小屋(物置など)
leaning	(…に対する)傾向,好み,趣味《+『to』(『toward』)+『名』》
Leaning Tower of Pisa	(イタリアの)ピサの斜塔
leant	leanの過去・過去分詞
leap	《しばしば副詞[句]を伴って》『ぴょんと飛ぶ』,はねる,躍る / 《副詞[句]を伴って》(飛ぶように)『急に』(『す早く』)『動く』,ぴょんと動く / 〈人・動物などが〉…‘を'『飛び越える』 / (…を)〈動物など〉‘に'飛び越えさせる《+『名』+『over』(『across』)+『名』》 / 跳ぶこと,跳躍;《比喩(ひゆ)的に》飛躍,急変 / ひと跳びの距離
leap year	うるう年
leapfrog	かえる跳び(前の人の背を順々に跳び越える遊戯)
leapt	leapの過去・過去分詞
learn	〈知識・技術など,習慣・心構えなど〉‘を'『習う』,学ぶ,身に着ける / …‘を'『覚える』(memorize) / …‘を'聞いて知る / 習う,学ぶ,覚える / (…から…について)知る,聞く《+『of』+『名』+『from』+『名』》
learned	『学問のある』,博学な / 学問的な,学術的な / 《名詞的に;the~》学者たち
learner	学習者;初学者
learning	(…を)学ぶこと,(…の)学習《+『of』+『名』》 / 『学問』,学識,博識
learnt	learnの過去,過去分詞
lease	借地(借家)契約,借地(借家)権 / 借用期間 / (…に)〈土地・家屋など〉‘を'賃貸する《+『名』+『to』+『名』》 / (…から)…‘を'賃借りする《+『名』+『from』+『名』》
leasehold	借地;借地権
leaseholder	借地人,借家人
leash	(犬などをつなぐ)皮ひも,綱,鎖(くさり) / 〈犬など〉‘を'皮ひもなどでつなぐ
least	(littleの最上級;比較級はless) / (大きさ・程度が)『最も小さい』(『少ない』) / (重要性・身分が)最も低い / (大きさ・程度・重要性が)『最小』(『最少』,『最小限』)『の物事』 / 『最も少なく』(『低く』)
least common denominator	最小公分母(《略》『i.c.d.,L.C.D.』)
least common multiple	最小公倍数(《略》l.c.m.,L.C.M.)
leastways	=leastwise
leastwise	少なくとも(at least)
leather	〈U〉(動物の)『なめし』『皮』 / (また『leather product』)〈C〉皮製品 / …‘を'むちで打つ
leatherette	模造革
leathern	皮のような / 皮製の
leatherneck	米国海兵隊員
leathery	皮のような
leave	(…に向かって)〈場所〉‘を'『去る』,離れる;〈人〉‘の'所を去る《+『名』+『for』+『名』》 / 〈会・学校など〉‘を'『やめる』,〈仕事など〉‘を'やめる / 《副詞[句]を伴って》〈人・物〉‘を'置いていく,置き去りにする,残しておく / 〈人・物〉‘を'(…の)『ままにしておく』,(…に)する / (物事に)〈人〉‘を'『ゆだねる』,任せる《+『名』〈人〉+『to』+『名』》 / (人に)〈物事〉‘を'『任せる』,ゆだねる,預ける《+『名』+『with』(『to』)+『名』〈人〉》 / 〈家族・遺産・名声など〉‘を'死後に残す / (差引き)…‘を'余りとして残す / (…に向けて)『去る』,出かける,出発する《+『for』+『名』》 / 〈U〉『許可』,許し(permission) / 〈U〉(軍隊・官庁・学校などで正式に許可される)『休暇』,暇;〈C〉休暇の期間 / 〈U〉別れ,いとまごい(farewell)
leave of absence	休暇[の期間]
leave-taking	いとまごい,告別
leaved	「…枚の葉のある」「…枚の」の意を表す
leaven	酵母,イースト,パン種(だね) / (パン種のように)徐々に感化)変化(を与えるもの,原動力,潜んだ力 / …‘を'パン種を入れてふくらませる / (…で)…‘に'変化(感化)を及ぼす《+『名』+『with』+『名』》
leaves	leafの複数形
leavings	残り物,くず
Lebanon	レバノン(地中海東岸の共和国;首都はBeirut)
lech	性的快楽にふける / 好色;《米》好色な人
lecher	好色家
lecherous	(特に男性が)好色な
lechery	好色
lecithin	レシチン(神経細胞や卵黄などに含まれるリン脂質)
lect.	lecture / lecturer
lectern	講演者用の机 / (教会の)聖書台
lecture	(…についての)『講義』,講演(speech)《+『on』+『名』》 / (…についての)(長い)『説教』,訓戒《+『on』(『for』)+『名』(do『ing』)》 / (…に対して…の)『講義をする』,講演をする《+『on』+『名』+『to』+『名』》 / (…について)…‘に'講義する,講演する《+『名』+『on』+『名』》 / (…について)‘を'訓戒する,しかる《+『名』+『for』+『名』(do『ing』)》
lecture theater, lecture theatre	講堂
lecturer	(…の)講演者;(大学の)講師《+『in』+『名』》 / 訓戒する人,しかる人
lectureship	大学の講師の職(地位)
led	leadの過去・過去分詞
LED	light-emitting diode
ledge	(建物の壁から突き出ている)棚[状のもの] / (がけ・絶壁から突き出ている)岩棚・岩礁
ledger	元帳,原簿
lee	物陰,風下[の場所];(特に船の)風の当らない側 / 風下の
Lee	リー将軍(Robert Edward ~;1807‐70;南北戦争における南軍の総司令官)
lee tide	順風潮(風の方向に流れる潮流)
leech	ヒル(血を吸う環形動物) / 高利貸し,搾取者・ファイルを(むやみに、または無断で)ダウンロードする
leek	ニラ,西洋ネギ
leer	横目,流し目;意地悪い目つき / (…を)横目(色目)で見る,意地悪い(いやらしい)目つきでにらむ(見る)《+『at』+(『upon』)+『名』》
leeringly	横目(色目)で,いやらしい目つきで
leery	用心深い,疑い深い
lees	(ぶどう酒などの)おり;(一般に)かす
leeward	風下の,風下にある / 風下へ(に) / 風下,風下の側
leeway	船や飛行機が風のために流される進路のずれ,偏流 / 時間の損失,遅れ / (時間・金銭などの)余裕,余地
left	leaveの過去・過去分詞 / 《名詞の前にのみ用いて》『左の』,左方の / 《しばしばl-》(政治上の)左翼の,左派の,革新派の / 左に,左方に / 《通例 the ~》『左』,左方,左側 / 《しばしばthe L-》左翼の政党(団体),左派 / 〈U〉(野球で)左翼,レフト(left field);〈C〉左翼手(left fielder) / 〈C〉(ボクシングで)左手打ち
left luggage office	手荷物一時預り所(《米》baggage room)
left-hand	《名詞の前にのみ用いて》 / 左側の,左方の / 左手による,左手の
left-handed	(人が)左ききの / (道具などが)左手用の / (機械などが)左回りの,左巻きの / 無器用な(clumsy) / 疑わしい,あいまいな
left-winger	左派(革新派)の人,左翼政党員(leftist)
leftfield	(野球で)左翼,レフト;左翼手の守備位置
leftfielder	(野球で)左翼手,レフト
lefthander	左ききの人,左腕投手
leftist	左派(革新派)の人,左翼政党員 / 左派の,左翼の,革新派の
leftover	(複数形：leftoversとして、特に食事などの)残り物,食べ残し,残飯 / 残りの,食べ残りの
leftward	左の方の,左方に向かった / 左の方へ(に),左手に
leftwards	《おもに英》=leftward
leftwing	左翼の政党(団体) / (政党・団体内の)左派(急進分子) / 左翼の,左派の
lefty	《話》左ききの人(選手)
leg	(人・動物の)『脚』 / (ズボン・靴下などの)脚をおおう部分,脚部 / (家具などの)脚,形(機能)が脚に似た物 / (三角形の底辺を除く)一辺 / (旅などの全行程の中の)一区切り,一区間
leg bye	(クリケットでの)デッドボール得点
leg-pull	からかい,悪ふざけ
legacy	(特に遺言によって相続する)遺産 / (祖先・先人から受け継いだ精神的・物質的)遺産
legal	『法律の』,法律上 / 法で定められた,法定の / 『合法の』
legal age	法定年齢,成年
legal aid	訴訟救助(貧しい人に対する弁護士料扶助)
legal fiction	便宜的真実(実際には虚偽でも正しいと主張すること)
legal holiday	法定休日
legal tender	法定貨幣,法貨
legalese	難解な法律文体
legalism	(特に極端な)法律尊重主義
legality	合法[性],適法
legalization,legalisation	合法化,公認
legalize,legalise	…‘を'合法化する,公認する
legally	法律上,法律的に / 合法的に
legate	(特にローマ教皇の)使節
legatee	遺産受取人
legation	〈C〉公使館 / 《集合的に》全公使館員
legato	(演奏法で)レガートで,音を切らないで
legend	〈C〉『伝説』,言い伝え;〈U〉伝説文学 / 〈C〉伝説上の人物 / 〈C〉(メダルなどの)題銘,銘(inscription) / 〈C〉(地図・図表などの)説明,凡例(はんれい)
legendary	伝説の,伝説的な,伝説に記されている / 有名な
leger	(楽譜の)加線
legerdemain	(特に手先の)手品,奇術 / ごまかし
legged	足(脚)が…の,…本足(脚)の
leggings	きゃはん,ゲートル,すね当て;レギンス(小児用保温ズボン)
leggy	足のひょろ長い / 脚線美を持った
leghorn	〈C〉《しばしばL-》レグホン(よく卵を産むニワトリの一種) / 〈U〉麦わらさなだの一種 / 〈C〉麦わらさなだで作った婦人用帽子
legibility	(文字が)読みやすいこと
legible	(文字が)読みやすい
legibly	読みやすく
legion	(古代ローマの)軍団(3,000‐6,000人の歩兵と300‐700人の騎兵より成る) / 軍勢,軍隊(army) / 多数,無数(multitude) / 《the L-》在郷軍人会,軍団 / きわめて多い
legionary	(古代ローマ軍の)兵士
legionnaire	《しばしばL-》米国在郷軍人会員 / 軍団員
legis.	legislation / legislative / legislature
